week;kvregion;region;specialization;gender;age_group;insurancecode;insurancetype;risk_groups;absolute;extrapolated
2024-31;Baden-Württemberg;Region Süd;01;m;30-59;375;GKV;;1;44
2024-31;Baden-Württemberg;Region Süd;03;f;60-199;89111;GKV;;1;59
2024-31;Rheinland-Pfalz;Region West;01;f;30-59;89111;GKV;;1;41
2024-32;Baden-Württemberg;Region Süd;01;f;30-59;375;GKV;;1;45
2024-32;Baden-Württemberg;Region Süd;01;f;30-59;375;PKV;;1;45
2024-32;Baden-Württemberg;Region Süd;01;m;30-59;375;GKV;;1;45
2024-32;Baden-Württemberg;Region Süd;01;m;30-59;375;PKV;;1;45
2024-32;Bayern;Region Süd;01;f;30-59;89111;GKV;Chronische Leberkrankheit;1;43
2024-32;Bayern;Region Süd;01;m;30-59;89112;GKV;;1;43
2024-32;Bremen;Region Nord;03;m;0-29;89111;GKV;;1;30
2024-32;Niedersachsen;Region Nord;03;m;30-59;1;PKV;;1;40
2024-32;Nordrhein-Westfalen;Region West;01;f;60-199;89111;GKV;;1;30
2024-32;Nordrhein-Westfalen;Region West;01;f;60-199;89112;GKV;;1;30
2024-32;Nordrhein-Westfalen;Region West;01;m;30-59;89112;GKV;;1;30
2024-32;Nordrhein-Westfalen;Region West;01;m;60-199;89111;GKV;;1;30
2024-32;Sachsen-Anhalt;Region Ost;01;f;60-199;89112;GKV;;1;45
2024-32;Schleswig-Holstein;Region Nord;03;m;60-199;89111;GKV;;1;19
2024-33;Baden-Württemberg;Region Süd;01;f;0-29;375;GKV;;1;45
2024-33;Baden-Württemberg;Region Süd;01;f;30-59;375;PKV;;1;45
2024-33;Baden-Württemberg;Region Süd;01;m;0-29;375;PKV;;1;45
2024-33;Berlin;Region Ost;03;m;30-59;89111;GKV;;1;47
2024-33;Brandenburg;Region Ost;01;m;30-59;89112;GKV;;1;5
2024-33;Nordrhein-Westfalen;Region West;01;m;60-199;377;PKV;;1;30
2024-33;Sachsen;Region Ost;01;f;60-199;89111;GKV;Hypertonie;1;112
2024-33;Schleswig-Holstein;Region Nord;03;m;60-199;89111;GKV;;1;19
2024-34;Bremen;Region Nord;01;f;30-59;375;GKV;;1;35
2024-34;Bremen;Region Nord;01;m;0-29;375;GKV;;1;35
2024-34;Bremen;Region Nord;03;f;30-59;375;GKV;;1;30
2024-34;Niedersachsen;Region Nord;01;m;30-59;89111;GKV;;1;39
2024-34;Niedersachsen;Region Nord;02;f;30-59;89112;GKV;;1;23
2024-34;Niedersachsen;Region Nord;02;f;60-199;89111;GKV;;1;23
2024-34;Nordrhein-Westfalen;Region West;01;f;30-59;89111;GKV;;1;31
2024-34;Nordrhein-Westfalen;Region West;01;m;0-29;89111;GKV;;1;31
2024-34;Nordrhein-Westfalen;Region West;01;m;0-29;89112Y;GKV;;1;31
2024-34;Nordrhein-Westfalen;Region West;03;f;60-199;89112;GKV;;1;37
2024-34;Nordrhein-Westfalen;Region West;03;m;60-199;2;PKV;;1;37
2024-34;Rheinland-Pfalz;Region West;03;f;30-59;89111;GKV;;1;71
2024-35;Bayern;Region Süd;01;f;30-59;89112;GKV;;1;43
2024-35;Bayern;Region Süd;01;f;60-199;89111;GKV;;3;130
2024-35;Bayern;Region Süd;01;f;60-199;89112;GKV;;2;87
2024-35;Bayern;Region Süd;01;m;0-29;375;PKV;;1;43
2024-35;Bayern;Region Süd;01;m;60-199;375;PKV;;2;87
2024-35;Bayern;Region Süd;01;m;60-199;89111;GKV;;3;130
2024-35;Bayern;Region Süd;03;m;0-29;2;PKV;;1;62
2024-35;Bremen;Region Nord;01;f;30-59;375;GKV;;1;35
2024-35;Hessen;Region West;01;f;30-59;89112;GKV;;2;75
2024-35;Hessen;Region West;02;f;30-59;89112;GKV;;2;0
2024-35;Hessen;Region West;03;f;30-59;89112;GKV;;1;44
2024-35;Hessen;Region West;03;f;60-199;89111;GKV;;1;44
2024-35;Hessen;Region West;03;m;30-59;89112;GKV;;1;44
2024-35;Hessen;Region West;03;m;60-199;375;PKV;;1;44
2024-35;Hessen;Region West;03;m;60-199;89111;GKV;;1;44
2024-35;Hessen;Region West;03;m;60-199;89111;GKV;Hypertonie;1;44
2024-35;Niedersachsen;Region Nord;01;f;60-199;89111;GKV;;3;116
2024-35;Niedersachsen;Region Nord;01;m;30-59;375;PKV;;1;39
2024-35;Niedersachsen;Region Nord;01;m;30-59;70;PKV;;1;39
2024-35;Niedersachsen;Region Nord;01;m;60-199;89111;GKV;;2;77
2024-35;Niedersachsen;Region Nord;03;f;30-59;1;PKV;;1;40
2024-35;Nordrhein-Westfalen;Region West;01;f;30-59;89112;GKV;;3;93
2024-35;Nordrhein-Westfalen;Region West;01;f;60-199;3;PKV;;1;31
2024-35;Nordrhein-Westfalen;Region West;01;f;60-199;89111;GKV;;1;31
2024-35;Nordrhein-Westfalen;Region West;01;f;60-199;89111;GKV;;14;436
2024-35;Nordrhein-Westfalen;Region West;01;f;60-199;89111;GKV;Asthma;1;31
2024-35;Nordrhein-Westfalen;Region West;01;f;60-199;89111;GKV;COPD;1;31
2024-35;Nordrhein-Westfalen;Region West;01;f;60-199;89111;GKV;Hypertonie;2;62
2024-35;Nordrhein-Westfalen;Region West;01;f;60-199;89112;GKV;Hypertonie;1;31
2024-35;Nordrhein-Westfalen;Region West;01;m;0-29;89111;GKV;;1;31
2024-35;Nordrhein-Westfalen;Region West;01;m;0-29;89112;GKV;;1;31
2024-35;Nordrhein-Westfalen;Region West;01;m;30-59;89112;GKV;;1;31
2024-35;Nordrhein-Westfalen;Region West;01;m;60-199;89111;GKV;;3;93
2024-35;Nordrhein-Westfalen;Region West;01;m;60-199;89111;GKV;;12;373
2024-35;Nordrhein-Westfalen;Region West;01;m;60-199;89111;GKV;Chronische Leberkrankheit;2;62
2024-35;Nordrhein-Westfalen;Region West;01;m;60-199;89112;GKV;Chronische Herzkreislauf;1;31
2024-35;Nordrhein-Westfalen;Region West;01;m;60-199;89112;GKV;Chronische Leberkrankheit;1;31
2024-35;Nordrhein-Westfalen;Region West;01;m;60-199;89112;GKV;Hypertonie;1;31
2024-35;Nordrhein-Westfalen;Region West;03;m;30-59;89111;GKV;;1;37
2024-35;Nordrhein-Westfalen;Region West;03;m;60-199;375;PKV;;1;37
2024-35;Nordrhein-Westfalen;Region West;03;m;60-199;89111;GKV;;1;37
2024-35;Sachsen-Anhalt;Region Ost;01;f;30-59;89112;GKV;;1;45
2024-35;Sachsen-Anhalt;Region Ost;01;f;60-199;89111;GKV;;1;45
2024-35;Schleswig-Holstein;Region Nord;03;f;30-59;89112;GKV;;1;19
2024-35;Schleswig-Holstein;Region Nord;03;f;60-199;89112;GKV;;1;19
2024-36;Baden-Württemberg;Region Süd;01;m;30-59;377;PKV;;1;45
2024-36;Baden-Württemberg;Region Süd;03;f;60-199;89111;GKV;;1;63
2024-36;Baden-Württemberg;Region Süd;03;m;30-59;89112;GKV;;1;63
2024-36;Baden-Württemberg;Region Süd;03;m;60-199;89111;GKV;;1;63
2024-36;Bayern;Region Süd;01;f;0-29;89112;GKV;;1;46
2024-36;Bayern;Region Süd;01;f;0-29;89112;GKV;;3;138
2024-36;Bayern;Region Süd;01;f;30-59;89112;GKV;;4;183
2024-36;Bayern;Region Süd;01;f;30-59;89112Z;GKV;Asthma;1;46
2024-36;Bayern;Region Süd;01;f;60-199;375;PKV;;1;46
2024-36;Bayern;Region Süd;01;f;60-199;375;PKV;;1;46
2024-36;Bayern;Region Süd;01;f;60-199;89111;GKV;;1;46
2024-36;Bayern;Region Süd;01;f;60-199;89111;GKV;;7;321
2024-36;Bayern;Region Süd;01;f;60-199;89111;GKV;Asthma;1;46
2024-36;Bayern;Region Süd;01;f;60-199;89111;GKV;COPD;1;46
2024-36;Bayern;Region Süd;01;f;60-199;89111;GKV;Diabetes T2;1;46
2024-36;Bayern;Region Süd;01;f;60-199;89111;GKV;Hypertonie;1;46
2024-36;Bayern;Region Süd;01;m;30-59;89112;GKV;;2;92
2024-36;Bayern;Region Süd;01;m;60-199;2;PKV;;1;46
2024-36;Bayern;Region Süd;01;m;60-199;89111;GKV;;1;46
2024-36;Bayern;Region Süd;01;m;60-199;89111;GKV;;9;413
2024-36;Bayern;Region Süd;01;m;60-199;89111;GKV;COPD;1;46
2024-36;Bayern;Region Süd;01;m;60-199;89111;GKV;Chronische Herzkreislauf;1;46
2024-36;Bayern;Region Süd;01;m;60-199;89111;GKV;Diabetes T2;2;92
2024-36;Bayern;Region Süd;03;f;30-59;89112;GKV;;1;63
2024-36;Bayern;Region Süd;03;m;30-59;89112;GKV;;4;251
2024-36;Bayern;Region Süd;03;m;60-199;89111;GKV;;1;63
2024-36;Berlin;Region Ost;01;f;30-59;89112;GKV;;1;51
2024-36;Berlin;Region Ost;01;f;60-199;89111;GKV;;4;202
2024-36;Berlin;Region Ost;01;f;60-199;89112;GKV;;1;51
2024-36;Berlin;Region Ost;01;m;30-59;89112;GKV;;2;101
2024-36;Berlin;Region Ost;01;m;60-199;5;PKV;;1;51
2024-36;Berlin;Region Ost;01;m;60-199;89111;GKV;;3;152
2024-36;Berlin;Region Ost;03;f;30-59;89112;GKV;;5;251
2024-36;Berlin;Region Ost;03;f;60-199;89111;GKV;;3;151
2024-36;Berlin;Region Ost;03;f;60-199;89111;GKV;;19;956
2024-36;Berlin;Region Ost;03;f;60-199;89112;GKV;;1;50
2024-36;Berlin;Region Ost;03;m;60-199;89111;GKV;;5;251
2024-36;Berlin;Region Ost;03;m;60-199;89111;GKV;;7;352
2024-36;Berlin;Region Ost;03;m;60-199;89112;GKV;;1;50
2024-36;Brandenburg;Region Ost;01;f;30-59;89111;GKV;;1;5
2024-36;Brandenburg;Region Ost;01;f;30-59;89112;GKV;;1;5
2024-36;Brandenburg;Region Ost;01;f;60-199;89111;GKV;;1;5
2024-36;Brandenburg;Region Ost;01;f;60-199;89111;GKV;;2;10
