week;kvregion;region;specialization;gender;age_group;insurancecode;insurancetype;risk_groups;absolute;extrapolated
2024-31;Baden-Württemberg;Region Süd;1;m;30-59;375;GKV;nan;1;44
2024-31;Baden-Württemberg;Region Süd;3;f;60-199;89111;GKV;nan;1;59
2024-31;Rheinland-Pfalz;Region West;1;f;30-59;89111;GKV;nan;1;41
2024-32;Baden-Württemberg;Region Süd;1;f;30-59;375;GKV;nan;1;45
2024-32;Baden-Württemberg;Region Süd;1;f;30-59;375;PKV;nan;1;45
2024-32;Baden-Württemberg;Region Süd;1;m;30-59;375;GKV;nan;1;45
2024-32;Baden-Württemberg;Region Süd;1;m;30-59;375;PKV;nan;1;45
2024-32;Bayern;Region Süd;1;f;30-59;89111;GKV;Chronische Leberkrankheit;1;43
2024-32;Bayern;Region Süd;1;m;30-59;89112;GKV;nan;1;43
2024-32;Bremen;Region Nord;3;m;0-29;89111;GKV;nan;1;30
2024-32;Niedersachsen;Region Nord;3;m;30-59;1;PKV;nan;1;40
2024-32;Nordrhein-Westfalen;Region West;1;f;60-199;89111;GKV;nan;1;30
2024-32;Nordrhein-Westfalen;Region West;1;f;60-199;89112;GKV;nan;1;30
2024-32;Nordrhein-Westfalen;Region West;1;m;30-59;89112;GKV;nan;1;30
2024-32;Nordrhein-Westfalen;Region West;1;m;60-199;89111;GKV;nan;1;30
2024-32;Sachsen-Anhalt;Region Ost;1;f;60-199;89112;GKV;nan;1;45
2024-32;Schleswig-Holstein;Region Nord;3;m;60-199;89111;GKV;nan;1;19
2024-33;Baden-Württemberg;Region Süd;1;f;0-29;375;GKV;nan;1;45
2024-33;Baden-Württemberg;Region Süd;1;f;30-59;375;PKV;nan;1;45
2024-33;Baden-Württemberg;Region Süd;1;m;0-29;375;PKV;nan;1;45
2024-33;Berlin;Region Ost;3;m;30-59;89111;GKV;nan;1;47
2024-33;Brandenburg;Region Ost;1;m;30-59;89112;GKV;nan;1;5
2024-33;Nordrhein-Westfalen;Region West;1;m;60-199;377;PKV;nan;1;30
2024-33;Sachsen;Region Ost;1;f;60-199;89111;GKV;Hypertonie;1;112
2024-33;Schleswig-Holstein;Region Nord;3;m;60-199;89111;GKV;nan;1;19
2024-34;Bremen;Region Nord;1;f;30-59;375;GKV;nan;1;35
2024-34;Bremen;Region Nord;1;m;0-29;375;GKV;nan;1;35
2024-34;Bremen;Region Nord;3;f;30-59;375;GKV;nan;1;30
2024-34;Niedersachsen;Region Nord;1;m;30-59;89111;GKV;nan;1;39
2024-34;Niedersachsen;Region Nord;2;f;30-59;89112;GKV;nan;1;23
2024-34;Niedersachsen;Region Nord;2;f;60-199;89111;GKV;nan;1;23
2024-34;Nordrhein-Westfalen;Region West;1;f;30-59;89111;GKV;nan;1;31
2024-34;Nordrhein-Westfalen;Region West;1;m;0-29;89111;GKV;nan;1;31
2024-34;Nordrhein-Westfalen;Region West;1;m;0-29;89112Y;GKV;nan;1;31
2024-34;Nordrhein-Westfalen;Region West;3;f;60-199;89112;GKV;nan;1;37
2024-34;Nordrhein-Westfalen;Region West;3;m;60-199;2;PKV;nan;1;37
2024-34;Rheinland-Pfalz;Region West;3;f;30-59;89111;GKV;nan;1;71
2024-35;Bayern;Region Süd;1;f;30-59;89112;GKV;nan;1;43
2024-35;Bayern;Region Süd;1;f;60-199;89111;GKV;nan;3;130
2024-35;Bayern;Region Süd;1;f;60-199;89112;GKV;nan;2;87
2024-35;Bayern;Region Süd;1;m;0-29;375;PKV;nan;1;43
2024-35;Bayern;Region Süd;1;m;60-199;375;PKV;nan;2;87
2024-35;Bayern;Region Süd;1;m;60-199;89111;GKV;nan;3;130
2024-35;Bayern;Region Süd;3;m;0-29;2;PKV;nan;1;62
2024-35;Bremen;Region Nord;1;f;30-59;375;GKV;nan;1;35
2024-35;Hessen;Region West;1;f;30-59;89112;GKV;nan;2;75
2024-35;Hessen;Region West;2;f;30-59;89112;GKV;nan;2;0
2024-35;Hessen;Region West;3;f;30-59;89112;GKV;nan;1;44
2024-35;Hessen;Region West;3;f;60-199;89111;GKV;nan;1;44
2024-35;Hessen;Region West;3;m;30-59;89112;GKV;nan;1;44
2024-35;Hessen;Region West;3;m;60-199;375;PKV;nan;1;44
2024-35;Hessen;Region West;3;m;60-199;89111;GKV;Hypertonie;1;44
2024-35;Hessen;Region West;3;m;60-199;89111;GKV;nan;1;44
2024-35;Niedersachsen;Region Nord;1;f;60-199;89111;GKV;nan;3;116
2024-35;Niedersachsen;Region Nord;1;m;30-59;375;PKV;nan;1;39
2024-35;Niedersachsen;Region Nord;1;m;30-59;70;PKV;nan;1;39
2024-35;Niedersachsen;Region Nord;1;m;60-199;89111;GKV;nan;2;77
2024-35;Niedersachsen;Region Nord;3;f;30-59;1;PKV;nan;1;40
2024-35;Nordrhein-Westfalen;Region West;1;f;30-59;89112;GKV;nan;3;93
2024-35;Nordrhein-Westfalen;Region West;1;f;60-199;3;PKV;nan;1;31
2024-35;Nordrhein-Westfalen;Region West;1;f;60-199;89111;GKV;Asthma;1;31
2024-35;Nordrhein-Westfalen;Region West;1;f;60-199;89111;GKV;COPD;1;31
2024-35;Nordrhein-Westfalen;Region West;1;f;60-199;89111;GKV;Hypertonie;2;62
2024-35;Nordrhein-Westfalen;Region West;1;f;60-199;89111;GKV;nan;15;467
2024-35;Nordrhein-Westfalen;Region West;1;f;60-199;89112;GKV;Hypertonie;1;31
2024-35;Nordrhein-Westfalen;Region West;1;m;0-29;89111;GKV;nan;1;31
2024-35;Nordrhein-Westfalen;Region West;1;m;0-29;89112;GKV;nan;1;31
2024-35;Nordrhein-Westfalen;Region West;1;m;30-59;89112;GKV;nan;1;31
2024-35;Nordrhein-Westfalen;Region West;1;m;60-199;89111;GKV;Chronische Leberkrankheit;2;62
2024-35;Nordrhein-Westfalen;Region West;1;m;60-199;89111;GKV;nan;15;466
2024-35;Nordrhein-Westfalen;Region West;1;m;60-199;89112;GKV;Chronische Herzkreislauf;1;31
2024-35;Nordrhein-Westfalen;Region West;1;m;60-199;89112;GKV;Chronische Leberkrankheit;1;31
2024-35;Nordrhein-Westfalen;Region West;1;m;60-199;89112;GKV;Hypertonie;1;31
2024-35;Nordrhein-Westfalen;Region West;3;m;30-59;89111;GKV;nan;1;37
2024-35;Nordrhein-Westfalen;Region West;3;m;60-199;375;PKV;nan;1;37
2024-35;Nordrhein-Westfalen;Region West;3;m;60-199;89111;GKV;nan;1;37
2024-35;Sachsen-Anhalt;Region Ost;1;f;30-59;89112;GKV;nan;1;45
2024-35;Sachsen-Anhalt;Region Ost;1;f;60-199;89111;GKV;nan;1;45
2024-35;Schleswig-Holstein;Region Nord;3;f;30-59;89112;GKV;nan;1;19
2024-35;Schleswig-Holstein;Region Nord;3;f;60-199;89112;GKV;nan;1;19
2024-36;Baden-Württemberg;Region Süd;1;m;30-59;377;PKV;nan;1;45
2024-36;Baden-Württemberg;Region Süd;3;f;60-199;89111;GKV;nan;1;63
2024-36;Baden-Württemberg;Region Süd;3;m;30-59;89112;GKV;nan;1;63
2024-36;Baden-Württemberg;Region Süd;3;m;60-199;89111;GKV;nan;1;63
2024-36;Bayern;Region Süd;1;f;0-29;89112;GKV;nan;4;184
2024-36;Bayern;Region Süd;1;f;30-59;89112;GKV;nan;4;183
2024-36;Bayern;Region Süd;1;f;30-59;89112Z;GKV;Asthma;1;46
2024-36;Bayern;Region Süd;1;f;60-199;375;PKV;nan;1;46
2024-36;Bayern;Region Süd;1;f;60-199;89111;GKV;Asthma;1;46
2024-36;Bayern;Region Süd;1;f;60-199;89111;GKV;COPD;1;46
