,Region,Altersgruppe,Inzidenz,Jahr,Woche,risk_groups,Fallzahl,Inzidenz_cumsum,Time,cumsum
10516,Baden-Württemberg,0-29,0.00964,2024,1,Asthma,951,0.00964,2024-01-01,0.00964
10564,Baden-Württemberg,0-29,0.01069,2024,2,Asthma,1055,0.02033,2024-01-08,0.02033
10612,Baden-Württemberg,0-29,0.02613,2024,3,Asthma,2580,0.04646,2024-01-15,0.04646
10660,Baden-Württemberg,0-29,0.04003,2024,4,Asthma,3952,0.08649000000000001,2024-01-22,0.08649000000000001
10708,Baden-Württemberg,0-29,0.04293,2024,5,Asthma,4239,0.12942,2024-01-29,0.12942
10756,Baden-Württemberg,0-29,0.04022,2024,6,Asthma,3971,0.16964,2024-02-05,0.16964
10804,Baden-Württemberg,0-29,0.02718,2024,7,Asthma,2684,0.19682,2024-02-12,0.19682
10852,Baden-Württemberg,0-29,0.02082,2024,8,Asthma,2055,0.21764,2024-02-19,0.21764
10900,Baden-Württemberg,0-29,0.01149,2024,9,Asthma,1134,0.22913,2024-02-26,0.22913
10948,Baden-Württemberg,0-29,0.00939,2024,10,Asthma,927,0.23852,2024-03-04,0.23852
10996,Baden-Württemberg,0-29,0.0076,2024,11,Asthma,750,0.24612,2024-03-11,0.24612
11044,Baden-Württemberg,0-29,0.00729,2024,12,Asthma,719,0.25341,2024-03-18,0.25341
11092,Baden-Württemberg,0-29,0.00476,2024,13,Asthma,469,0.25817,2024-03-25,0.25817
11140,Baden-Württemberg,0-29,0.0025299999999999997,2024,14,Asthma,250,0.2607,2024-04-01,0.2607
11188,Baden-Württemberg,0-29,0.00117,2024,15,Asthma,115,0.26187,2024-04-08,0.26187
11233,Baden-Württemberg,0-29,0.00117,2024,16,Asthma,115,0.26304,2024-04-15,0.26304
11280,Baden-Württemberg,0-29,0.00507,2024,17,Asthma,500,0.26811,2024-04-22,0.26811
11326,Baden-Württemberg,0-29,0.00266,2024,18,Asthma,262,0.27077,2024-04-29,0.27077
11372,Baden-Württemberg,0-29,0.00111,2024,19,Asthma,109,0.27188,2024-05-06,0.00111
11419,Baden-Württemberg,0-29,0.0005600000000000001,2024,20,Asthma,54,0.27244,2024-05-13,0.00167
11467,Baden-Württemberg,0-29,0.00049,2024,21,Asthma,48,0.27293,2024-05-20,0.00216
11508,Baden-Württemberg,0-29,0.00037,2024,22,Asthma,36,0.2733,2024-05-27,0.00253
11549,Baden-Württemberg,0-29,0.00043,2024,23,Asthma,42,0.27373000000000003,2024-06-03,0.00296
11584,Baden-Württemberg,0-29,0.00019,2024,24,Asthma,18,0.27392,2024-06-10,0.00315
11621,Baden-Württemberg,0-29,0.00043,2024,25,Asthma,42,0.27435,2024-06-17,0.0035800000000000003
11658,Baden-Württemberg,0-29,6e-05,2024,26,Asthma,6,0.27441,2024-06-24,0.00364
11696,Baden-Württemberg,0-29,0.00012,2024,27,Asthma,12,0.27453,2024-07-01,0.0037600000000000003
11765,Baden-Württemberg,0-29,6e-05,2024,29,Asthma,6,0.27459,2024-07-15,0.00382
11837,Baden-Württemberg,0-29,6e-05,2024,31,Asthma,6,0.27465,2024-07-29,0.00388
11862,Baden-Württemberg,0-29,0.00012,2024,32,Asthma,12,0.27477,2024-08-05,0.004
11894,Baden-Württemberg,0-29,6e-05,2024,33,Asthma,6,0.27483,2024-08-12,0.00406
11932,Baden-Württemberg,0-29,0.00019,2024,34,Asthma,18,0.27502,2024-08-19,0.00425
11964,Baden-Württemberg,0-29,0.00012,2024,35,Asthma,12,0.27514,2024-08-26,0.00437
