,week,kvregion,region,specialization,gender,age_group,insurancecode,insurancetype,risk_groups,absolute,extrapolated
0,2024-31,Baden-Württemberg,Region Süd,1,m,30-59,375,GKV,,1,44
1,2024-31,Baden-Württemberg,Region Süd,3,f,60-199,89111,GKV,,1,59
2,2024-31,Rheinland-Pfalz,Region West,1,f,30-59,89111,GKV,,1,41
3,2024-32,Baden-Württemberg,Region Süd,1,f,30-59,375,GKV,,1,45
4,2024-32,Baden-Württemberg,Region Süd,1,f,30-59,375,PKV,,1,45
5,2024-32,Baden-Württemberg,Region Süd,1,m,30-59,375,GKV,,1,45
6,2024-32,Baden-Württemberg,Region Süd,1,m,30-59,375,PKV,,1,45
7,2024-32,Bayern,Region Süd,1,f,30-59,89111,GKV,Chronische Leberkrankheit,1,43
8,2024-32,Bayern,Region Süd,1,m,30-59,89112,GKV,,1,43
9,2024-32,Bremen,Region Nord,3,m,0-29,89111,GKV,,1,30
10,2024-32,Niedersachsen,Region Nord,3,m,30-59,1,PKV,,1,40
11,2024-32,Nordrhein-Westfalen,Region West,1,f,60-199,89111,GKV,,1,30
12,2024-32,Nordrhein-Westfalen,Region West,1,f,60-199,89112,GKV,,1,30
13,2024-32,Nordrhein-Westfalen,Region West,1,m,30-59,89112,GKV,,1,30
14,2024-32,Nordrhein-Westfalen,Region West,1,m,60-199,89111,GKV,,1,30
15,2024-32,Sachsen-Anhalt,Region Ost,1,f,60-199,89112,GKV,,1,45
16,2024-32,Schleswig-Holstein,Region Nord,3,m,60-199,89111,GKV,,1,19
17,2024-33,Baden-Württemberg,Region Süd,1,f,0-29,375,GKV,,1,45
18,2024-33,Baden-Württemberg,Region Süd,1,f,30-59,375,PKV,,1,45
19,2024-33,Baden-Württemberg,Region Süd,1,m,0-29,375,PKV,,1,45
20,2024-33,Berlin,Region Ost,3,m,30-59,89111,GKV,,1,47
21,2024-33,Brandenburg,Region Ost,1,m,30-59,89112,GKV,,1,5
22,2024-33,Nordrhein-Westfalen,Region West,1,m,60-199,377,PKV,,1,30
23,2024-33,Sachsen,Region Ost,1,f,60-199,89111,GKV,Hypertonie,1,112
24,2024-33,Schleswig-Holstein,Region Nord,3,m,60-199,89111,GKV,,1,19
25,2024-34,Bremen,Region Nord,1,f,30-59,375,GKV,,1,35
26,2024-34,Bremen,Region Nord,1,m,0-29,375,GKV,,1,35
27,2024-34,Bremen,Region Nord,3,f,30-59,375,GKV,,1,30
28,2024-34,Niedersachsen,Region Nord,1,m,30-59,89111,GKV,,1,39
29,2024-34,Niedersachsen,Region Nord,2,f,30-59,89112,GKV,,1,23
30,2024-34,Niedersachsen,Region Nord,2,f,60-199,89111,GKV,,1,23
31,2024-34,Nordrhein-Westfalen,Region West,1,f,30-59,89111,GKV,,1,31
32,2024-34,Nordrhein-Westfalen,Region West,1,m,0-29,89111,GKV,,1,31
33,2024-34,Nordrhein-Westfalen,Region West,1,m,0-29,89112Y,GKV,,1,31
34,2024-34,Nordrhein-Westfalen,Region West,3,f,60-199,89112,GKV,,1,37
35,2024-34,Nordrhein-Westfalen,Region West,3,m,60-199,2,PKV,,1,37
36,2024-34,Rheinland-Pfalz,Region West,3,f,30-59,89111,GKV,,1,71
37,2024-35,Bayern,Region Süd,1,f,30-59,89112,GKV,,1,43
38,2024-35,Bayern,Region Süd,1,f,60-199,89111,GKV,,3,130
39,2024-35,Bayern,Region Süd,1,f,60-199,89112,GKV,,2,87
40,2024-35,Bayern,Region Süd,1,m,0-29,375,PKV,,1,43
41,2024-35,Bayern,Region Süd,1,m,60-199,375,PKV,,2,87
42,2024-35,Bayern,Region Süd,1,m,60-199,89111,GKV,,3,130
43,2024-35,Bayern,Region Süd,3,m,0-29,2,PKV,,1,62
44,2024-35,Bremen,Region Nord,1,f,30-59,375,GKV,,1,35
45,2024-35,Hessen,Region West,1,f,30-59,89112,GKV,,2,75
46,2024-35,Hessen,Region West,2,f,30-59,89112,GKV,,2,0
47,2024-35,Hessen,Region West,3,f,30-59,89112,GKV,,1,44
48,2024-35,Hessen,Region West,3,f,60-199,89111,GKV,,1,44
49,2024-35,Hessen,Region West,3,m,30-59,89112,GKV,,1,44
50,2024-35,Hessen,Region West,3,m,60-199,375,PKV,,1,44
